Идентификатор,Логин,Имя,Оболочка,Домашняя директория
9687,elizabeth_sanchez_9687,Elizabeth Sanchez,/bin/eshell,/home/elizabeth_sanchez_9687
5192,elizabeth_myers_5192,Elizabeth Myers,/bin/bash,/home/elizabeth_myers_5192
213,richard_steele_213,Richard Steele,/bin/scsh,/home/richard_steele_213
2186,heidi_durham_2186,Heidi Durham,/bin/xonsh,/home/heidi_durham_2186
8085,jillian_lewis_8085,Jillian Lewis,/bin/ksh,/home/jillian_lewis_8085
1727,anne_perez_1727,Anne Perez,/bin/oil,/home/anne_perez_1727
734,leslie_hall_734,Leslie Hall,/bin/zsh,/home/leslie_hall_734
8087,carl_henry_8087,Carl Henry,/bin/tcsh,/home/carl_henry_8087
4759,danielle_johnson_4759,Danielle Johnson,/bin/csh,/home/danielle_johnson_4759
6050,belinda_davis_6050,Belinda Davis,/bin/bash,/home/belinda_davis_6050
579,brandi_khan_579,Brandi Khan,/bin/dash,/home/brandi_khan_579
64,roberto_butler_64,Roberto Butler,/bin/elvish,/home/roberto_butler_64
6962,david_kelly_6962,David Kelly,/bin/xonsh,/home/david_kelly_6962
3093,matthew_williams_3093,Matthew Williams,/bin/ksh,/home/matthew_williams_3093
8328,grace_mason_8328,Grace Mason,/bin/oil,/home/root
7420,mike_anderson_7420,Mike Anderson,/bin/csh,/home/mike_anderson_7420
9729,michael_yang_9729,Michael Yang,/bin/elvish,/home/root
54,erin_norris_54,Erin Norris,/bin/scsh,/home/erin_norris_54
2073,nicole_smith_2073,Nicole Smith,/bin/csh,/home/nicole_smith_2073
7481,brianna_lindsey_7481,Brianna Lindsey,/bin/rc,/home/brianna_lindsey_7481
7347,alexander_haley_7347,Alexander Haley,/bin/bash,/home/alexander_haley_7347
7953,tyler_hansen_7953,Tyler Hansen,/bin/eshell,/home/tyler_hansen_7953
2851,jeffrey_griffin_2851,Jeffrey Griffin,/bin/eshell,/home/jeffrey_griffin_2851
8211,philip_knight_8211,Philip Knight,/bin/oil,/home/philip_knight_8211
7697,patricia_woodward_7697,Patricia Woodward,/bin/scsh,/home/patricia_woodward_7697
1895,dawn_smith_1895,Dawn Smith,/bin/csh,/home/dawn_smith_1895
4497,jennifer_hernandez_4497,Jennifer Hernandez,/bin/oh,/home/jennifer_hernandez_4497
1935,brandon_pace_1935,Brandon Pace,/bin/ksh,/home/root
6257,lisa_davidson_md_6257,Lisa Davidson MD,/bin/dash,/home/lisa_davidson_md_6257
6350,joe_long_6350,Joe Long,/bin/ion,/home/root
665,kevin_rodriguez_665,Kevin Rodriguez,/bin/csh,/home/kevin_rodriguez_665
4868,steven_rich_4868,Steven Rich,/bin/tcsh,/home/steven_rich_4868
6089,monica_nguyen_6089,Monica Nguyen,/bin/ion,/home/monica_nguyen_6089
8121,dana_blake_8121,Dana Blake,/bin/xonsh,/home/dana_blake_8121
7029,teresa_tran_7029,Teresa Tran,/bin/fish,/home/teresa_tran_7029
1257,erica_phillips_1257,Erica Phillips,/bin/tcsh,/home/erica_phillips_1257
5850,lisa_walker_5850,Lisa Walker,/bin/rc,/home/root
6083,jessica_ritter_6083,Jessica Ritter,/bin/oil,/home/jessica_ritter_6083
5959,jeanette_bowers_5959,Jeanette Bowers,/bin/fish,/home/root
7489,victor_bush_7489,Victor Bush,/bin/tcsh,/home/victor_bush_7489
5538,christine_hooper_5538,Christine Hooper,/bin/elvish,/home/christine_hooper_5538
3568,joshua_diaz_3568,Joshua Diaz,/bin/zsh,/home/joshua_diaz_3568
1801,alyssa_campbell_1801,Alyssa Campbell,/bin/sh,/home/root
9455,ronald_myers_9455,Ronald Myers,/bin/sh,/home/root
9441,danielle_tanner_9441,Danielle Tanner,/bin/oil,/home/root
251,marcus_campos_251,Marcus Campos,/bin/scsh,/home/marcus_campos_251
2505,tyler_rose_2505,Tyler Rose,/bin/eshell,/home/tyler_rose_2505
2883,andrew_hooper_2883,Andrew Hooper,/bin/oil,/home/andrew_hooper_2883
8306,logan_sullivan_8306,Logan Sullivan,/bin/scsh,/home/logan_sullivan_8306
1991,patricia_mclean_1991,Patricia Mclean,/bin/ksh,/home/patricia_mclean_1991
7203,jerry_sanders_7203,Jerry Sanders,/bin/dash,/home/jerry_sanders_7203
3557,destiny_ortiz_3557,Destiny Ortiz,/bin/elvish,/home/destiny_ortiz_3557
1930,noah_jordan_1930,Noah Jordan,/bin/dash,/home/noah_jordan_1930
5271,wanda_byrd_5271,Wanda Byrd,/bin/xonsh,/home/wanda_byrd_5271
2757,diana_hensley_2757,Diana Hensley,/bin/xonsh,/home/diana_hensley_2757
5251,gary_curtis_5251,Gary Curtis,/bin/sh,/home/gary_curtis_5251
9689,charles_rush_9689,Charles Rush,/bin/elvish,/home/charles_rush_9689
895,sheryl_wallace_895,Sheryl Wallace,/bin/bash,/home/sheryl_wallace_895
9567,miranda_lee_9567,Miranda Lee,/bin/dash,/home/miranda_lee_9567
8203,christopher_kelly_8203,Christopher Kelly,/bin/tcsh,/home/christopher_kelly_8203
3801,richard_juarez_3801,Richard Juarez,/bin/bash,/home/richard_juarez_3801
1365,john_davis_1365,John Davis,/bin/dash,/home/john_davis_1365
661,joseph_williams_661,Joseph Williams,/bin/zsh,/home/root
8793,linda_johnson_8793,Linda Johnson,/bin/dash,/home/linda_johnson_8793
6803,ryan_martin_6803,Ryan Martin,/bin/ion,/home/root
1120,kristina_gutierrez_1120,Kristina Gutierrez,/bin/bash,/home/kristina_gutierrez_1120
3529,evan_keith_3529,Evan Keith,/bin/bash,/home/evan_keith_3529
3159,patricia_adams_3159,Patricia Adams,/bin/fish,/home/root
8780,lorraine_harris_8780,Lorraine Harris,/bin/zsh,/home/lorraine_harris_8780
6384,carolyn_allen_6384,Carolyn Allen,/bin/oh,/home/carolyn_allen_6384
9176,laura_hanna_9176,Laura Hanna,/bin/oh,/home/laura_hanna_9176
5992,rhonda_mejia_5992,Rhonda Mejia,/bin/scsh,/home/root
7277,john_thomas_7277,John Thomas,/bin/eshell,/home/root
5090,chris_brady_5090,Chris Brady,/bin/xonsh,/home/chris_brady_5090
6046,cory_waters_6046,Cory Waters,/bin/csh,/home/cory_waters_6046
7732,anna_jones_7732,Anna Jones,/bin/oil,/home/anna_jones_7732
4192,aaron_gonzalez_4192,Aaron Gonzalez,/bin/rc,/home/aaron_gonzalez_4192
6377,jeremy_fleming_6377,Jeremy Fleming,/bin/elvish,/home/jeremy_fleming_6377
4537,william_gutierrez_4537,William Gutierrez,/bin/fish,/home/william_gutierrez_4537
3213,ronald_thomas_3213,Ronald Thomas,/bin/oil,/home/ronald_thomas_3213
2219,benjamin_patterson_2219,Benjamin Patterson,/bin/zsh,/home/root
495,charles_blackwell_495,Charles Blackwell,/bin/xonsh,/home/root
6599,sandra_brown_6599,Sandra Brown,/bin/ksh,/home/sandra_brown_6599
9570,anthony_shaw_9570,Anthony Shaw,/bin/eshell,/home/anthony_shaw_9570
3760,jenna_lee_3760,Jenna Lee,/bin/fish,/home/jenna_lee_3760
7682,rodney_payne_7682,Rodney Payne,/bin/bash,/home/root
3545,danny_miller_3545,Danny Miller,/bin/bash,/home/danny_miller_3545
6951,sydney_bailey_6951,Sydney Bailey,/bin/oh,/home/sydney_bailey_6951
402,samantha_roberts_402,Samantha Roberts,/bin/bash,/home/samantha_roberts_402
6317,breanna_morrison_6317,Breanna Morrison,/bin/eshell,/home/breanna_morrison_6317
6773,crystal_collins_6773,Crystal Collins,/bin/oil,/home/root
9863,amanda_smith_9863,Amanda Smith,/bin/tcsh,/home/amanda_smith_9863
9529,amanda_contreras_9529,Amanda Contreras,/bin/xonsh,/home/amanda_contreras_9529
4,brenda_rogers_4,Brenda Rogers,/bin/csh,/home/brenda_rogers_4
7190,kelly_smith_7190,Kelly Smith,/bin/sh,/home/kelly_smith_7190
2801,penny_lara_2801,Penny Lara,/bin/sh,/home/penny_lara_2801
3817,brenda_robinson_3817,Brenda Robinson,/bin/tcsh,/home/brenda_robinson_3817
7838,kelsey_barrett_7838,Kelsey Barrett,/bin/oh,/home/kelsey_barrett_7838
4753,william_lara_4753,William Lara,/bin/fish,/home/root
4468,adam_mills_4468,Adam Mills,/bin/xonsh,/home/adam_mills_4468
85,tiffany_davis_85,Tiffany Davis,/bin/ksh,/home/tiffany_davis_85
4506,angela_torres_4506,Angela Torres,/bin/sh,/home/angela_torres_4506
527,steven_brewer_527,Steven Brewer,/bin/oil,/home/steven_brewer_527
2778,mark_perry_2778,Mark Perry,/bin/rc,/home/root
9833,laura_kemp_9833,Laura Kemp,/bin/sh,/home/laura_kemp_9833
5185,james_moore_5185,James Moore,/bin/fish,/home/james_moore_5185
7852,james_henry_7852,James Henry,/bin/eshell,/home/james_henry_7852
5836,erik_ramos_5836,Erik Ramos,/bin/ion,/home/erik_ramos_5836
7254,patricia_vaughn_7254,Patricia Vaughn,/bin/xonsh,/home/patricia_vaughn_7254
6768,steven_martin_6768,Steven Martin,/bin/csh,/home/steven_martin_6768
7145,clinton_flores_7145,Clinton Flores,/bin/bash,/home/clinton_flores_7145
724,paul_brewer_724,Paul Brewer,/bin/scsh,/home/paul_brewer_724
3899,nicole_glass_3899,Nicole Glass,/bin/scsh,/home/nicole_glass_3899
5683,cathy_cunningham_5683,Cathy Cunningham,/bin/csh,/home/cathy_cunningham_5683
5142,casey_wilcox_5142,Casey Wilcox,/bin/scsh,/home/casey_wilcox_5142
7248,joseph_smith_7248,Joseph Smith,/bin/oh,/home/joseph_smith_7248
2632,joseph_lin_2632,Joseph Lin,/bin/scsh,/home/joseph_lin_2632
3697,william_anthony_3697,William Anthony,/bin/oil,/home/william_anthony_3697
9350,jennifer_manning_9350,Jennifer Manning,/bin/elvish,/home/jennifer_manning_9350
9426,lindsay_long_9426,Lindsay Long,/bin/fish,/home/lindsay_long_9426
